,date,country,state,confirmed_raw,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
0,2020-05-14,Italy,Lombardia,83820,83820,15296,38568,29956,83820,15296,38568
1,2020-05-14,Spain,Madrid,65693,65693,8779,40199,16715,65693,8779,40199
2,2020-05-14,Spain,Catalonia,55482,55482,5823,25849,23810,55482,5823,25849
3,2020-05-14,Germany,Bayern,45352,45352,2250,39140,3962,45352,2250,39140
4,2020-05-14,Germany,Nordrhein-Westfalen,35741,35741,1483,31300,2958,35741,1483,31300
5,2020-05-14,Germany,Baden-Wurttemberg,33804,33804,1629,29400,2775,33804,1629,29400
6,2020-05-14,Italy,Piemonte,29209,29209,3493,13825,11891,29209,3493,13825
7,2020-05-14,Italy,Emilia-Romagna,27056,27056,3930,16825,6301,27056,3930,16825
8,2020-05-14,Italy,Veneto,18845,18845,1743,12384,4718,18845,1743,12384
9,2020-05-14,Spain,Castilla y Leon,18173,18173,1925,7621,8627,18173,1925,7621
10,2020-05-14,Spain,Castilla - La Mancha,16470,16470,2852,6244,7374,16470,2852,6244
11,2020-05-14,Spain,Pais Vasco,13219,13219,1454,15256,-3491,13219,1454,15256
13,2020-05-14,Spain,Unknown,-211792,-211792,-25149,-129985,-56658,11304,6219,-14697
14,2020-05-14,Germany,Niedersachsen,11075,11075,537,9500,1038,11075,537,9500
15,2020-05-14,Spain,C. Valenciana,10784,10784,1349,9490,-55,10784,1349,9490
17,2020-05-14,Italy,Toscana,9859,9859,973,5498,3388,9859,973,5498
18,2020-05-14,Spain,Galicia,9317,9317,601,8157,559,9317,601,8157
19,2020-05-14,Germany,Hessen,9169,9169,423,7600,1146,9169,423,7600
20,2020-05-14,Italy,Liguria,8995,8995,1329,5006,2660,8995,1329,5006
21,2020-05-14,Italy,Lazio,7291,7291,595,2600,4096,7291,595,2600
22,2020-05-14,Italy,Marche,6603,6603,974,2725,2904,6603,974,2725
23,2020-05-14,Germany,Rheinland-Pfalz,6406,6406,212,5800,394,6406,212,5800
24,2020-05-14,Germany,Berlin,6393,6393,177,5737,479,6393,177,5737
25,2020-05-14,Spain,Navarra,5105,5105,498,3400,1207,5105,498,3400
26,2020-05-14,Germany,Sachsen,5046,5046,195,4400,451,5046,195,4400
27,2020-05-14,Germany,Hamburg,4976,4976,228,4400,348,4976,228,4400
28,2020-05-14,Italy,Campania,4639,4639,394,2480,1765,4639,394,2480
29,2020-05-14,Italy,Puglia,4357,4357,461,1643,2253,4357,461,1643
30,2020-05-14,Italy,P.A. Trento,4315,4315,448,3362,505,4315,448,3362
32,2020-05-14,Spain,La Rioja,4014,4014,348,2867,799,4014,348,2867
35,2020-05-14,Italy,Sicilia,3366,3366,263,1249,1854,3366,263,1249
37,2020-05-14,Germany,Brandenburg,3173,3173,162,2700,311,3173,162,2700
38,2020-05-14,Italy,Friuli Venezia Giulia,3161,3161,317,2074,770,3161,317,2074
39,2020-05-14,Italy,Abruzzo,3136,3136,379,1275,1482,3136,379,1275
40,2020-05-14,Germany,Schleswig-Holstein,2988,2988,125,2600,263,2988,125,2600
41,2020-05-14,Spain,Extremadura,2923,2923,492,2482,-51,2923,492,2482
42,2020-05-14,Germany,Saarland,2705,2705,149,2400,156,2705,149,2400
43,2020-05-14,Germany,Thuringen,2663,2663,133,2200,330,2663,133,2200
45,2020-05-14,Italy,P.A. Bolzano,2578,2578,290,1908,380,2578,290,1908
48,2020-05-14,Spain,Asturias,2356,2356,308,1046,1002,2356,308,1046
49,2020-05-14,Spain,Canarias,2275,2275,151,1496,628,2275,151,1496
50,2020-05-14,Spain,Cantabria,2256,2256,205,2110,-59,2256,205,2110
53,2020-05-14,Spain,Baleares,1958,1958,216,1492,250,1958,216,1492
57,2020-05-14,Germany,Sachsen-Anhalt,1668,1668,52,1500,116,1668,52,1500
59,2020-05-14,Spain,Murcia,1532,1532,142,1998,-608,1532,142,1998
61,2020-05-14,Italy,Umbria,1420,1420,73,1255,92,1420,73,1255
62,2020-05-14,Italy,Sardegna,1345,1345,125,755,465,1345,125,755
64,2020-05-14,Italy,Valle d'Aosta,1166,1166,141,945,80,1166,141,945
66,2020-05-14,Italy,Calabria,1143,1143,95,524,524,1143,95,524
67,2020-05-14,Germany,Bremen,1132,1132,37,800,295,1132,37,800
72,2020-05-14,Italy,Italy,223096,223096,31368,115288,76440,992,262,2747
79,2020-05-14,Germany,Mecklenburg-Vorpommern,740,740,20,700,20,740,20,700
98,2020-05-14,Italy,Molise,403,403,22,152,229,403,22,152
102,2020-05-14,Italy,Basilicata,389,389,27,235,127,389,27,235
105,2020-05-14,Germany,Germany,174478,174478,7884,150300,16294,380,23,1600
141,2020-05-14,Spain,Melilla,119,119,2,119,-2,119,2,119
142,2020-05-14,Spain,Ceuta,116,116,4,159,-47,116,4,159
375,2020-05-14,Spain,Spain,211792,211792,25149,129985,56658,-8119,-1955,-10838
376,2020-05-14,Italy,Unknown,-223096,-223096,-31368,-115288,-76440,-50065,-23556,34889
377,2020-05-14,Germany,Unknown,-173031,-173031,-7812,-150177,-15042,-173031,-7812,-150177
398,2020-05-13,Germany,Germany,174098,174098,7861,148700,17537,927,123,1500
399,2020-05-13,Italy,Italy,222104,222104,31106,112541,78457,888,195,3502
699,2020-05-13,Spain,Spain,228691,219911,27104,140823,60764,-8119,184,1843
715,2020-05-12,Italy,Italy,221216,221216,30911,109039,81266,1402,172,2452
735,2020-05-12,Germany,Germany,173171,173171,7738,147200,18233,595,77,1583
737,2020-05-12,Spain,Spain,228030,228030,26920,138980,62130,594,176,1841
1025,2020-05-11,Spain,Spain,227436,227436,26744,137139,63553,3086,123,973
1044,2020-05-11,Italy,Italy,219814,219814,30739,106587,82488,744,179,1401
1045,2020-05-11,Germany,Germany,172576,172576,7661,145617,19298,697,92,1217
1368,2020-05-10,Italy,Italy,219070,219070,30560,105186,83324,802,165,2155
1370,2020-05-10,Spain,Spain,224350,224350,26621,136166,61563,772,143,2214
1376,2020-05-10,Germany,Germany,171879,171879,7569,144400,19910,555,20,1100
1682,2020-05-09,Italy,Italy,218268,218268,30395,103031,84842,1083,194,4008
1689,2020-05-09,Germany,Germany,171324,171324,7549,143300,20475,736,39,1600
1690,2020-05-09,Spain,Spain,223578,223578,26478,133952,63148,721,179,2804
2000,2020-05-08,Spain,Spain,222857,222857,26299,131148,65410,1410,229,2637
2002,2020-05-08,Italy,Italy,217185,217185,30201,99023,87961,1327,243,2747
2006,2020-05-08,Germany,Germany,170588,170588,7510,141700,21378,1158,118,0
2320,2020-05-07,Italy,Italy,215858,215858,29958,96276,89624,1401,274,3031
2321,2020-05-07,Germany,Germany,169430,169430,7392,141700,20338,1268,117,1800
2324,2020-05-07,Spain,Spain,221447,221447,26070,128511,66866,1122,213,2509
2641,2020-05-06,Italy,Italy,214457,214457,29684,93245,91528,1444,369,8014
2643,2020-05-06,Germany,Germany,168162,168162,7275,139900,20987,1155,282,4800
2647,2020-05-06,Spain,Spain,220325,220325,25857,126002,68466,996,244,2516
2960,2020-05-05,Spain,Spain,219329,219329,25613,123486,70230,1318,185,2143
2965,2020-05-05,Italy,Italy,213013,213013,29315,85231,98467,1075,236,2352
2970,2020-05-05,Germany,Germany,167007,167007,6993,135100,24914,855,0,2400
3282,2020-05-04,Italy,Italy,211938,211938,29079,82879,99980,1221,195,1225
3302,2020-05-04,Spain,Spain,218011,218011,25428,121343,71240,545,164,2441
3305,2020-05-04,Germany,Germany,166152,166152,6993,132700,26459,488,127,2100
3603,2020-05-03,Italy,Italy,210717,210717,28884,81654,100179,1389,174,1740
3611,2020-05-03,Spain,Spain,217466,217466,25264,118902,73300,884,164,1654
3614,2020-05-03,Germany,Germany,165664,165664,6866,130600,28198,697,54,1600
3920,2020-05-02,Italy,Italy,209328,209328,28710,79914,100704,1900,474,1665
3921,2020-05-02,Spain,Spain,216582,216582,25100,117248,74234,1574,557,5198
3933,2020-05-02,Germany,Germany,164967,164967,6812,129000,29155,890,76,2100
4241,2020-05-01,Italy,Italy,207428,207428,28236,78249,100943,1965,269,2304
4245,2020-05-01,Spain,Spain,213435,215008,24543,112050,76842,1573,0,0
4253,2020-05-01,Germany,Germany,164077,164077,6736,126900,30441,1068,113,3400
4561,2020-04-30,Italy,Italy,205463,205463,27967,75945,101551,1872,285,4693
4564,2020-04-30,Germany,Germany,163009,163009,6623,123500,32886,1470,156,3100
4593,2020-04-30,Spain,Spain,213435,213435,24543,112050,76842,518,268,-20879
4882,2020-04-29,Spain,Spain,212917,212917,24275,132929,79695,2144,453,9026
4883,2020-04-29,Italy,Italy,203591,203591,27682,71252,104657,2086,323,2311
4886,2020-04-29,Germany,Germany,161539,161539,6467,120400,34672,1627,153,3000
5200,2020-04-28,Italy,Italy,201505,201505,27359,68941,105205,2091,382,2317
5204,2020-04-28,Spain,Spain,210773,210773,23822,123903,84403,1308,301,3071
5209,2020-04-28,Germany,Germany,159912,159912,6314,117400,36198,1154,188,2900
5518,2020-04-27,Spain,Spain,209465,209465,23521,120832,85069,1831,331,3105
5519,2020-04-27,Italy,Italy,199414,199414,26977,66624,105813,1739,333,1696
5527,2020-04-27,Germany,Germany,158758,158758,6126,114500,38132,988,150,2500
5836,2020-04-26,Italy,Italy,197675,197675,26644,64928,106103,2324,260,1808
5839,2020-04-26,Spain,Spain,207634,207634,23190,117727,85712,1729,288,22019
5843,2020-04-26,Germany,Germany,157770,157770,5976,112000,39794,1257,99,2200
6154,2020-04-25,Spain,Spain,205905,205905,22902,95708,105149,2944,378,3353
6157,2020-04-25,Italy,Italy,195351,195351,26384,63120,105847,2357,415,2622
6161,2020-04-25,Germany,Germany,156513,156513,5877,109800,40836,1514,117,0
6473,2020-04-24,Italy,Italy,192994,192994,25969,60498,106527,3021,420,2922
6474,2020-04-24,Spain,Spain,202961,202961,22524,92355,104885,2767,367,3105
6477,2020-04-24,Germany,Germany,154999,154999,5760,109800,39439,1870,185,6500
6792,2020-04-23,Spain,Spain,200194,200194,22157,89250,101617,3052,440,3335
6793,2020-04-23,Italy,Italy,189973,189973,25549,57576,106848,2646,464,3033
6794,2020-04-23,Germany,Germany,153129,153129,5575,103300,44254,2481,296,3900
7107,2020-04-22,Italy,Italy,187327,187327,25085,54543,107699,3370,437,2943
7110,2020-04-22,Spain,Spain,197142,197142,21717,85915,100757,2627,435,3401
7111,2020-04-22,Germany,Germany,150648,150648,5279,99400,45969,2357,246,4200
7426,2020-04-21,Spain,Spain,194515,194515,21282,82514,100382,3352,430,1927
7427,2020-04-21,Italy,Italy,183957,183957,24648,51600,107709,2729,534,2723
7436,2020-04-21,Germany,Germany,148291,148291,5033,95200,48058,1226,171,3700
7746,2020-04-20,Italy,Italy,181228,181228,24114,48877,108237,2256,454,1822
7749,2020-04-20,Germany,Germany,147065,147065,4862,91500,50703,1881,276,3500
7758,2020-04-20,Spain,Spain,191163,191163,20852,80587,98771,1155,399,3230
8064,2020-04-19,Italy,Italy,178972,178972,23660,47055,108257,3047,433,2128
8068,2020-04-19,Germany,Germany,145184,145184,4586,88000,52598,1842,127,2600
8070,2020-04-19,Spain,Spain,190008,190008,20453,77357,100864,1430,410,2560
8382,2020-04-18,Italy,Italy,175925,175925,23227,44927,107771,3491,482,2200
8385,2020-04-18,Spain,Spain,188578,188578,20043,74797,96886,2674,41,0
8388,2020-04-18,Germany,Germany,143342,143342,4459,85400,53483,1945,107,2286
8699,2020-04-17,Spain,Spain,185904,185904,20002,74797,96040,4400,687,0
8702,2020-04-17,Germany,Germany,141397,141397,4352,83114,53931,3699,300,6114
8703,2020-04-17,Italy,Italy,172434,172434,22745,42727,106962,3493,575,2563
9021,2020-04-16,Spain,Spain,181504,181504,19315,74797,90836,3860,607,3944
9022,2020-04-16,Italy,Italy,168941,168941,22170,40164,106607,3786,525,2072
9024,2020-04-16,Germany,Germany,137698,137698,4052,77000,56646,2945,248,4400
9336,2020-04-15,Spain,Spain,177644,177644,18708,70853,88083,5103,652,3349
9339,2020-04-15,Germany,Germany,134753,134753,3804,72600,58349,3394,510,4400
9343,2020-04-15,Italy,Italy,165155,165155,21645,38092,105418,2667,578,962
9659,2020-04-14,Italy,Italy,162488,162488,21067,37130,104291,2972,602,1695
9661,2020-04-14,Spain,Spain,172541,172541,18056,67504,86981,2442,300,2777
9667,2020-04-14,Germany,Germany,131359,131359,3294,68200,59865,1287,100,3900
9977,2020-04-13,Spain,Spain,170099,170099,17756,64727,87616,3268,547,2336
9978,2020-04-13,Italy,Italy,159516,159516,20465,35435,103616,3153,566,1224
9982,2020-04-13,Germany,Germany,130072,130072,3194,64300,62578,2218,172,4000
10295,2020-04-12,Italy,Italy,156363,156363,19899,34211,102253,4092,431,1677
10296,2020-04-12,Spain,Spain,166831,166831,17209,62391,87231,3804,603,3282
10298,2020-04-12,Germany,Germany,127854,127854,3022,60300,64532,2946,286,2900
10615,2020-04-11,Spain,Spain,163027,163027,16606,59109,87312,4754,525,3441
10616,2020-04-11,Italy,Italy,152271,152271,19468,32534,100269,4694,619,2079
10618,2020-04-11,Germany,Germany,124908,124908,2736,57400,64772,2737,-31,3487
10932,2020-04-10,Spain,Spain,158273,158273,16081,55668,86524,5051,634,3503
10935,2020-04-10,Germany,Germany,122171,122171,2767,53913,65491,3990,160,1506
10936,2020-04-10,Italy,Italy,147577,147577,18849,30455,98273,3951,570,1985
11250,2020-04-09,Spain,Spain,153222,153222,15447,52165,85610,5002,655,4144
11251,2020-04-09,Germany,Germany,118181,118181,2607,52407,63167,4885,258,6107
